Date,MSCIWorld_GBPHedged,MSCIEMxGBP
31/12/2012,0.01734474,0.03678465
31/01/2013,0.05433744,0.03683373
28/02/2013,0.0135492,0.03183709
29/03/2013,0.02413098,-0.01772471
30/04/2013,0.02486213,-0.0145568
31/05/2013,0.01135952,-0.00163787
28/06/2013,-0.02556294,-0.06387359
31/07/2013,0.04684168,0.01129604
30/08/2013,-0.02195139,-0.03585385
30/09/2013,0.03463569,0.01889438
31/10/2013,0.03912587,0.05740432
29/11/2013,0.01947758,-0.03333881
31/12/2013,0.01962459,-0.02492875
31/01/2014,-0.03310927,-0.0594181
28/02/2014,0.0399794,0.01597733
31/03/2014,-0.00030358,0.03365053
30/04/2014,0.00532221,-0.00763008
30/05/2014,0.01930017,0.04154011
30/06/2014,0.01219683,0.00701526
31/07/2014,-0.00842874,0.03297425
29/08/2014,0.02469308,0.04138295
30/09/2014,-0.01160163,-0.0529545
31/10/2014,0.01100132,0.02611135
28/11/2014,0.02778832,0.0129014
31/12/2014,-0.00849059,-0.04254896
30/01/2015,-0.00677618,0.04348705
27/02/2015,0.05607869,0.00267832
31/03/2015,-0.0067157,0.02555698
30/04/2015,0.00861933,0.04269461
29/05/2015,0.00999121,-0.03586208
30/06/2015,-0.02964907,-0.05321893
31/07/2015,0.02465512,-0.06266943
31/08/2015,-0.06930665,-0.07354443
30/09/2015,-0.03759022,-0.01603821
30/10/2015,0.0761159,0.04961728
30/11/2015,0.00499268,-0.01268686
31/12/2015,-0.0232077,-0.00119377
29/01/2016,-0.05688462,-0.03132156
29/02/2016,-0.01760129,0.02043219
31/03/2016,0.0492909,0.09439418
29/04/2016,0.0065201,-0.01028976
31/05/2016,0.01437325,-0.02976468
30/06/2016,-0.01693438,0.13814782
29/07/2016,0.040826,0.05402702
